"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"190","C548",0,"FB54","Female","2012","no"
"191","C554",0,"FB55",NA,"2010","no"
"192","C555",0,"FB55","Male","2012","no"
"193","C574",0,"FB57",NA,"1996","no"
"194","C595",0,"FB59",NA,"1994","no"
"195","C596",1,"FB59","Probable Male","1998","no"
"196","C597",0,"FB59",NA,"2002","no"
"197","C652",1,"FB65",NA,"1994","no"
"198","C655",1,"FB65","Female","2011","no"
"199","C656",1,"FB65",NA,"2014","no"
"200","C717",0,"FB71","Male","1996","no"
"201","C754",0,"FB75","Female","1994","no"
"202","C755",0,"FB75",NA,"1996","no"
"203","C791",0,"FB79",NA,"1993","no"
"204","C793",0,"FB79",NA,"1999","no"
"205","C794",1,"FB79",NA,"2001","no"
"206","C795",1,"FB79",NA,"2004","no"
"207","C797",1,"FB79","Male","2010","no"
"208","C798",1,"FB79","Female","2012","no"
"209","C834",1,"FB83","Male","1992","no"
"210","C835",1,"FB83","Male","1998","no"
"211","C871",0,"FB87",NA,"1996","no"
"212","C872",0,"FB87","Male","2005","no"
"213","C873",0,"FB87",NA,"2007","no"
"214","C874",0,"FB87",NA,"2010","no"
"215","C911",1,"C991",NA,"2007","no"
"216","C912",0,"C991",NA,"2011","no"
"217","C931",0,"FB93","Male","1998","no"
"218","C932",0,"FB93",NA,"2000","no"
"219","C933",0,"FB93","Female","2004","no"
"220","C935",1,"FB93","Male","2009","no"
"221","C936",0,"FB93","Female","2012","no"
"222","C991",1,"FB99","Female","1994","no"
"223","CAES",0,NA,NA,NA,"no"
"224","CAM1",0,"CAMB","Probable Female",NA,"no"
"225","CATW",0,NA,"Probable Female",NA,"no"
"226","CBTA",0,NA,NA,NA,"no"
"227","CBTL",0,"BTLN",NA,NA,"no"
"228","CCL4",0,"F111",NA,"1994","no"
"229","CCL6",0,"F111",NA,"1999","no"
"230","CDRA",0,"DRAC",NA,"1992","no"
"231","CDS2",0,"DRSN",NA,"1999","no"
"232","CENT",0,NA,NA,NA,"no"
"233","CHAD",0,NA,"Female",NA,"no"
"234","CHK2",0,NA,"Probable Female",NA,"no"
"235","CHMA",0,NA,"Probable Female",NA,"no"
"236","CHOC",0,"TRIF",NA,NA,"no"
"237","CHSL",0,NA,"Male",NA,"no"
"238","CHTO",0,NA,NA,"1988","no"
"239","CIER",0,NA,NA,NA,"no"
"240","CKB2",0,"KNOB",NA,NA,"no"
"241","CL-4841",0,"LBHL",NA,NA,"no"
"242","CL-4987",0,NA,NA,NA,"no"
"243","CL-5034",0,NA,NA,NA,"no"
"244","CL-5063",0,NA,NA,NA,"no"
"245","CL-5091",0,NA,NA,NA,"no"
"246","CL-5178",0,NA,NA,NA,"no"
"247","CL-5192",0,NA,NA,NA,"no"
"248","CL-5224",0,NA,NA,NA,"no"
"249","CL-5225",0,NA,NA,NA,"no"
"250","CL-5464",0,NA,NA,NA,"no"
"251","CL-5469",0,NA,NA,NA,"no"
"252","CL-5471",0,NA,NA,NA,"no"
"253","CL-5472",0,NA,NA,NA,"no"
"254","CL-5473",0,NA,NA,NA,"no"
"255","CL-5474",0,NA,NA,NA,"no"
"256","CLA2",0,"CLAT","Male",NA,"no"
"257","CLAT",0,NA,"Probable Female",NA,"no"
"258","CLIF",0,NA,NA,NA,"no"
"259","CLJP",0,"VLKA",NA,NA,"no"
"260","CLUE",0,NA,NA,NA,"no"
"261","CMRS",0,"MRSL","Male",NA,"no"
"262","CONC",0,"CONS",NA,NA,"no"
"263","CONS",0,NA,"Probable Female",NA,"no"
"264","COST",0,NA,NA,NA,"no"
"265","CPS2",0,"PSDQ",NA,NA,"no"
"266","CRAG",0,NA,NA,NA,"no"
