"","Date","Year","Code","StartLon","StartLat","DiffHI","HAB_time"
"53655","2007-04-04",2007,"F276",-82.59533,27.31655,"SD",2
"53656","2007-04-04",2007,"F276",-82.59533,27.31655,"SD",2
"53657","2007-04-04",2007,"F276",-82.59533,27.31655,"SD",2
"53824","2007-05-15",2007,"F106",-82.7303,27.5345,"SD",2
"53825","2007-05-15",2007,"F106",-82.7303,27.5345,"SD",2
"54001","2007-05-18",2007,"BEGR",-82.46956,27.12805,"SD",2
"54002","2007-05-18",2007,"BEGR",-82.46956,27.12805,"SD",2
"54823","2007-06-19",2007,"1091",-82.67505,27.43806,"SD",2
"54824","2007-06-19",2007,"F109",-82.67505,27.43806,"SD",2
"54872","2007-06-20",2007,"F106",-82.7306,27.5347,"SD",2
"54873","2007-06-20",2007,"F106",-82.7306,27.5347,"SD",2
"54874","2007-06-20",2007,"F106",-82.7306,27.5347,"SD",2
"54939","2007-06-21",2007,"F106",-82.7305,27.5343,"SD",2
"55030","2007-06-22",2007,"FB79",-82.57224,27.3333,"SD",2
"55245","2007-06-27",2007,"F106",-82.7303,27.5345,"SD",2
"55246","2007-06-27",2007,"F106",-82.7303,27.5345,"SD",2
"55247","2007-06-27",2007,"F106",-82.7303,27.5345,"SD",2
"55264","2007-06-27",2007,"F106",-82.7322,27.5344,"SD",2
"55266","2007-06-27",2007,"F106",-82.7322,27.5344,"SD",2
"55348","2007-06-29",2007,"F106",-82.7318,27.5337,"SD",2
"55349","2007-06-29",2007,"F106",-82.7318,27.5337,"SD",2
"55361","2007-06-29",2007,"F106",-82.7306,27.5347,"SD",2
"55362","2007-06-29",2007,"F106",-82.7306,27.5347,"SD",2
"55363","2007-06-29",2007,"F106",-82.7306,27.5347,"SD",2
"55370","2007-06-30",2007,"F106",-82.7306,27.5347,"SD",2
"55371","2007-06-30",2007,"F106",-82.7303,27.5345,"SD",2
"55372","2007-06-30",2007,"F106",-82.7305,27.5346,"SD",2
"55377","2007-06-30",2007,"F106",-82.7303,27.5345,"SD",2
"55458","2007-07-03",2007,"F106",-82.7305,27.5346,"SD",2
"56677","2007-07-27",2007,"1091",-82.57389,27.33137,"SD",2
"56678","2007-07-27",2007,"F109",-82.57389,27.33137,"SD",2
"56680","2007-07-27",2007,"F109",-82.57389,27.33137,"SD",2
"57358","2007-08-09",2007,"BEGR",-82.4697,27.12779,"SD",2
"57359","2007-08-09",2007,"BEGR",-82.4697,27.12779,"SD",2
"57659","2007-08-14",2007,"F106",-82.72968,27.53428,"SD",2
"57660","2007-08-14",2007,"F106",-82.72968,27.53428,"SD",2
"57661","2007-08-14",2007,"F106",-82.72968,27.53428,"SD",2
"58333","2007-08-28",2007,"F148",-82.65951,27.4912,"FG",2
"59017","2007-10-25",2007,"F203",-82.64321,27.43349,"FG",2
"59018","2007-10-25",2007,"F224",-82.64321,27.43349,"FG",2
"59019","2007-10-25",2007,"F232",-82.64321,27.43349,"FG",2
"59070","2007-11-04",2007,"BEAN",-82.7308,27.5347,"SD",2
"59071","2007-11-04",2007,"BEAN",-82.7308,27.5347,"SD",2
"59072","2007-11-04",2007,"BEAN",-82.7308,27.5347,"SD",2
"59711","2007-12-08",2007,"1091",-82.58876,27.32658,"SD",2
"59712","2007-12-08",2007,"F109",-82.58876,27.32658,"SD",2
"60248","2008-02-02",2008,"F238",-82.55724,27.32612,"FG",2
"60267","2008-02-03",2008,"1091",-82.56308,27.28806,"SD",2
"60268","2008-02-03",2008,"F109",-82.56308,27.28806,"SD",2
"60272","2008-02-03",2008,"1091",-82.56308,27.28806,"SD",2
"60502","2008-02-14",2008,"F188",-82.69023,27.46722,"SD",2
"60504","2008-02-14",2008,"F188",-82.69023,27.46722,"SD",2
"60641","2008-02-20",2008,"DRSN",-82.59604,27.33055,"SD",2
"60643","2008-02-20",2008,"F198",-82.59604,27.33055,"SD",2
"60644","2008-02-20",2008,"DRSN",-82.59604,27.33055,"SD",2
"60646","2008-02-20",2008,"F198",-82.59604,27.33055,"SD",2
"60688","2008-02-21",2008,"F232",-82.68705,27.44385,"SD",2
"60689","2008-02-21",2008,"F232",-82.68705,27.44385,"SD",2
"60694","2008-02-21",2008,"GCHX",-82.64995,27.60632,"SD",2
"60758","2008-02-25",2008,"FB92",-82.56176,27.29374,"SD",2
"60947","2008-03-12",2008,"F232",-82.68726,27.44832,"SD",2
"61095","2008-03-27",2008,"F276",-82.59713,27.41402,"SD",2
"62176","2008-05-23",2008,"BEGR",-82.46954,27.12562,"SD",2
"62177","2008-05-23",2008,"BEGR",-82.46954,27.12562,"SD",2
"62919","2008-06-04",2008,"BEGR",-82.46922,27.12589,"SD",2
"62920","2008-06-04",2008,"BEGR",-82.46922,27.12589,"SD",2
"63242","2008-06-10",2008,"F232",-82.6788,27.43865,"SD",2
"63797","2008-06-20",2008,"BEGR",-82.47294,27.1448,"SD",2
"63798","2008-06-20",2008,"BEGR",-82.47294,27.1448,"SD",2
"64005","2008-06-27",2008,"F232",-82.67102,27.44521,"SD",2
"64190","2008-07-01",2008,"BEGR",-82.47039,27.13669,"SD",2
"64191","2008-07-01",2008,"BEGR",-82.47039,27.13669,"SD",2
"64890","2008-07-15",2008,"BEGR",-82.46947,27.12884,"SD",2
"64891","2008-07-15",2008,"BEGR",-82.46947,27.12884,"SD",2
"65015","2008-07-18",2008,"JETY",-82.46646,27.07946,"SD",2
"65584","2008-08-04",2008,"BEGR",-82.46997,27.12905,"SD",2
"65585","2008-08-04",2008,"BEGR",-82.46997,27.12905,"SD",2
"65732","2008-08-06",2008,"SRC1",-82.65146,27.60512,"SD",2
"65733","2008-08-06",2008,"SRCA",-82.65146,27.60512,"SD",2
"65735","2008-08-06",2008,"SRCA",-82.65146,27.60512,"SD",2
"66095","2008-08-25",2008,"F190",-82.70268,27.52941,"SD",2
"66096","2008-08-25",2008,"F232",-82.70268,27.52941,"SD",2
"66136","2008-08-26",2008,"F155",-82.64686,27.47619,"FG",2
"66137","2008-08-26",2008,"F205",-82.64686,27.47619,"FG",2
"66404","2008-09-15",2008,"WIN1",-82.64569,27.52922,"FG",2
"66405","2008-09-15",2008,"WINN",-82.64569,27.52922,"FG",2
"66445","2008-09-18",2008,"F155",-82.6492,27.50286,"SD",2
"66446","2008-09-18",2008,"F209",-82.6492,27.50286,"SD",2
"66448","2008-09-18",2008,"F155",-82.6492,27.50286,"SD",2
"66449","2008-09-18",2008,"F209",-82.6492,27.50286,"SD",2
"66531","2008-09-23",2008,"BEGR",-82.46949,27.12713,"SD",2
"66532","2008-09-23",2008,"BEGR",-82.46949,27.12713,"SD",2
"66533","2008-09-26",2008,"F128",-82.6792,27.44855,"FG",2
"66534","2008-09-26",2008,"FB92",-82.6792,27.44855,"FG",2
"66901","2008-11-05",2008,"AMVM",-82.47525,27.11626,"SD",2
"66906","2008-11-05",2008,"JETY",-82.47525,27.11626,"SD",2
"66907","2008-11-05",2008,"LNLD",-82.47525,27.11626,"SD",2
"66908","2008-11-05",2008,"MLVN",-82.47525,27.11626,"SD",2
"68024","2009-02-21",2009,"1091",-82.5697,27.28113,"SD",2
"68025","2009-02-21",2009,"F109",-82.5697,27.28113,"SD",2
"68203","2009-03-10",2009,"F190",-82.67645,27.52382,"SD",2
"68204","2009-03-10",2009,"YANK",-82.67645,27.52382,"SD",2
"68205","2009-03-10",2009,"F190",-82.67645,27.52382,"SD",2
"68206","2009-03-10",2009,"YANK",-82.67645,27.52382,"SD",2
"70758","2009-10-07",2009,"BEGR",-82.46933,27.1261,"SD",2
"70759","2009-10-07",2009,"BEGR",-82.46933,27.1261,"SD",2
"70948","2009-11-03",2009,"F179",-82.69437,27.465,"FG",2
"70949","2009-11-03",2009,"F197",-82.69437,27.465,"FG",2
"71084","2009-11-17",2009,"C911",-82.59129,27.50991,"FG",2
"71085","2009-11-17",2009,"C991",-82.59129,27.50991,"FG",2
"71093","2009-11-17",2009,"DRSN",-82.69481,27.43954,"SD",2
"71094","2009-11-17",2009,"F133",-82.69481,27.43954,"SD",2
"71095","2009-11-17",2009,"F219",-82.69481,27.43954,"SD",2
"71096","2009-11-17",2009,"FB87",-82.69481,27.43954,"SD",2
"71259","2009-11-29",2009,"F108",-82.56424,27.29678,"SD",2
"71261","2009-11-29",2009,"F199",-82.56424,27.29678,"SD",2
"71262","2009-11-29",2009,"F262",-82.56424,27.29678,"SD",2
"71264","2009-11-29",2009,"F108",-82.56424,27.29678,"SD",2
"71266","2009-11-29",2009,"F199",-82.56424,27.29678,"SD",2
"71267","2009-11-29",2009,"F262",-82.56424,27.29678,"SD",2
"71494","2009-12-15",2009,"F108",-82.46922,27.12478,"SD",2
"71495","2009-12-15",2009,"F194",-82.46922,27.12478,"SD",2
"72109","2010-03-25",2010,"F109",-82.57124,27.27931,"SD",2
"72279","2010-04-07",2010,"FB78",-82.56679,27.32707,"SD",2
"74496","2010-09-22",2010,"JETY",-82.46795,27.11288,"SD",2
"74517","2010-09-22",2010,"SCSM",-82.45303,27.07136,"SD",2
"74710","2010-10-20",2010,"F207",-82.66246,27.44004,"FG",2
"74867","2010-11-01",2010,"C835",-82.5901,27.3189,"SD",2
"74869","2010-11-01",2010,"F248",-82.5901,27.3189,"SD",2
"74870","2010-11-01",2010,"JOSC",-82.5901,27.3189,"SD",2
"74877","2010-11-01",2010,"HAAK",-82.58594,27.30685,"FG",2
"74952","2010-11-02",2010,"B053",-82.66499,27.4395,"FG",2
"74953","2010-11-02",2010,"F133",-82.66499,27.4395,"FG",2
"74954","2010-11-02",2010,"F173",-82.66499,27.4395,"FG",2
"74955","2010-11-02",2010,"F207",-82.66499,27.4395,"FG",2
"74956","2010-11-02",2010,"F246",-82.66499,27.4395,"FG",2
"74957","2010-11-02",2010,"F250",-82.66499,27.4395,"FG",2
"75435","2011-01-27",2011,"BEGR",-82.48344,27.16016,"SD",2
"75758","2011-03-13",2011,"BEGR",-82.48378,27.16062,"SD",2
"75761","2011-03-13",2011,"BEGR",-82.48378,27.16062,"SD",2
"75764","2011-03-13",2011,"BEGR",-82.48378,27.16062,"SD",2
"75851","2011-03-17",2011,"BEGR",-82.48812,27.17033,"SD",2
