"","Code","Freq_bg","Freq_fg","Freq_sd"
"F227","F227",0,0.0476190476190476,0.0238095238095238
"F228","F228",0,0,0.0357142857142857
"F231","F231",0,0,0
"F232","F232",0.0384615384615385,0,0.134615384615385
"F234","F234",0,0,0.0142857142857143
"F236","F236",0,0.00606060606060606,0
"F237","F237",0,0,0
"F238","F238",0,0,0.0128205128205128
"F240","F240",0,0,0
"F241","F241",0.0833333333333333,0,0
"F242","F242",0,0,0.0178571428571429
"F246","F246",0,0.0232558139534884,0
"F248","F248",0,0,0.0105263157894737
"F250","F250",0,0,0.0263157894736842
"F252","F252",0,0.0416666666666667,0
"F254","F254",0,0,0.0117647058823529
"F256","F256",0,0,0
"F258","F258",0,0.0149253731343284,0
"F262","F262",0,0,0
"F266","F266",0,0,0
"F268","F268",0,0,0
"F276","F276",0.00980392156862745,0.00490196078431373,0.0490196078431373
"FB01","FB01",0,0,0
"FB02","FB02",0,0.015,0
"FB03","FB03",0,0.00980392156862745,0
"FB05","FB05",0,0,0.0176991150442478
"FB06","FB06",0,0,0.008
"FB07","FB07",0,0,0
"FB09","FB09",0,0.0115606936416185,0
"FB10","FB10",0,0,0
"FB11","FB11",0,0,0.00390625
"FB12","FB12",0,0,0
"FB13","FB13",0,0,0
"FB14","FB14",0,0,0
"FB15","FB15",0,0,0.00873362445414847
"FB17","FB17",0,0,0.0526315789473684
"FB20","FB20",0,0.00350877192982456,0.00350877192982456
"FB23","FB23",0,0,0
"FB24","FB24",0,0,0
"FB25","FB25",0,0,0
"FB26","FB26",0,0,0
"FB27","FB27",0,0,0.0104166666666667
"FB28","FB28",0,0,0.0178571428571429
"FB29","FB29",0,0,0
"FB32","FB32",0,0,0
"FB33","FB33",0,0.00429184549356223,0
"FB34","FB34",0,0,0
"FB35","FB35",0.0142857142857143,0.0142857142857143,0.0142857142857143
"FB36","FB36",0,0,0
"FB38","FB38",0,0,0
"FB39","FB39",0,0,0
"FB41","FB41",0,0,0
"FB43","FB43",0,0,0.0285714285714286
"FB44","FB44",0,0,0.00636942675159236
"FB46","FB46",0,0,0
"FB48","FB48",0,0,0
"FB54","FB54",0,0.003125,0
"FB55","FB55",0,0,0
"FB57","FB57",0,0,0
"FB58","FB58",0,0,0
"FB59","FB59",0,0,0
"FB60","FB60",0,0,0
"FB62","FB62",0,0,0
"FB63","FB63",0,0,0.0103092783505155
"FB65","FB65",0,0,0.0218340611353712
"FB66","FB66",0,0,0.0297619047619048
"FB68","FB68",0,0,0
"FB71","FB71",0,0,0
"FB73","FB73",0,0,0
"FB75","FB75",0,0,0
"FB76","FB76",0,0,0
"FB78","FB78",0.00675675675675676,0,0.155405405405405
"FB79","FB79",0.00316455696202532,0.00632911392405063,0.0474683544303797
"FB83","FB83",0,0,0
"FB84","FB84",0,0.0119047619047619,0
"FB87","FB87",0,0,0.00699300699300699
"FB90","FB90",0.00381679389312977,0.00381679389312977,0
"FB92","FB92",0,0.0242214532871972,0.0173010380622837
"FB93","FB93",0,0,0.0355029585798817
"FB94","FB94",0,0,0
"FB96","FB96",0.0555555555555556,0,0.0555555555555556
"FB98","FB98",0,0,0
"FB99","FB99",0,0,0
"FEAT","FEAT",0,0,0
"FLDG","FLDG",0,0,0
"FNIS","FNIS",0,0,0
"FRGI","FRGI",0,0,0
"FRN2","FRN2",0,0,0
"FRN3","FRN3",0,0,0
"FRNC","FRNC",0,0,0
"FRNG","FRNG",0,0,0
"FUDD","FUDD",0,0,0
"FZJS","FZJS",0,0,0
"GPHK","GPHK",0,0,0
"GRGO","GRGO",0,0,0
"GRW1","GRW1",NA,NA,NA
"GRWW","GRWW",0,0,0
"GTFG","GTFG",0,0,0
"GWEN","GWEN",0,0,0
"HAAK","HAAK",0,0.0526315789473684,0
"HAIR","HAIR",0,0,0
"HAMM","HAMM",NA,NA,NA
"HAN2","HAN2",0,0,0
"HANG","HANG",0,0,0
"HBM2","HBM2",0,0,0
"HBM4","HBM4",0,0,0
"HBMB","HBMB",0,0,0
"HBUT","HBUT",0,0,0
"HFLT","HFLT",0,0,0
"HILB","HILB",0,0,0
"HIPM","HIPM",0,0,0
"HIQQ","HIQQ",0,0,0
"HITS","HITS",0,0,0
"HLPC","HLPC",0,0,0
"HML2","HML2",0,0,0
"HMLC","HMLC",0,0,0
"HMLT","HMLT",0,0,0
"HMMM","HMMM",0,0,0
"HMTN","HMTN",0,0,0
"HNB2","HNB2",0,0,0
"HNBT","HNBT",0,0,0
"HOK1","HOK1",0,0,0
"HOK2","HOK2",0,0,0
"HOKA","HOKA",0,0,0
"HOV2","HOV2",0,0,0
"HOVA","HOVA",0,0,0
"HOVC","HOVC",0,0,0
"HSNS","HSNS",0,0,0
"HUCK","HUCK",0,0,0
"HUEY","HUEY",0,0,0
"HVMS","HVMS",0,0,0
"HWK3","HWK3",0,0,0.111111111111111
"IKN2","IKN2",0,0,0.0102040816326531
"IKNO","IKNO",0,0,0
"J001","J001",0,0,0
"JAMM","JAMM",0,0,0
"JAWS","JAWS",NA,NA,NA
"JBAK","JBAK",0,0,0
"JETY","JETY",0.0196078431372549,0,0.0980392156862745
"JGLD","JGLD",0,0,0
"JIG3","JIG3",0,0,0
"JOJO","JOJO",0,0,0
"JOSC","JOSC",0,0,0.0208333333333333
"JOSE","JOSE",0,0,0
"KNIK","KNIK",0,0,0
"KNNN","KNNN",0,0,0
"KNOB","KNOB",0,0,0
"KOKO","KOKO",0,0,0
"KRSN","KRSN",0,0.125,0
"L108","L108",0,0,0
"LACH","LACH",0,0,0
"LBHL","LBHL",0,0,0
"LBLK","LBLK",0,0,0
"LBLS","LBLS",0,0,0
"LBMA","LBMA",0,0,0
"LBMN","LBMN",0,0,0
"LBSL","LBSL",0,0,0
"LDM3","LDM3",0,0,0
"LDMA","LDMA",0,0,0
"LEON","LEON",0,0,0
"LFLG","LFLG",0,0,0
"LHLV","LHLV",0,0,0
"LIZD","LIZD",0,0,0
"LLLN","LLLN",0,0,0
"LNCC","LNCC",0,0,0
"LNLD","LNLD",0,0,0.0597014925373134
"LNPC","LNPC",0,0,0
"LNPF","LNPF",0,0,0
"LNST","LNST",0,0,0
"LONE","LONE",0,0,0
"LOT3","LOT3",0,0,0
"LOTB","LOTB",0,0,0
"LRBD","LRBD",0,0,0
"LSPL","LSPL",0,0,0
"LSPO","LSPO",0,0,0
"LWHP","LWHP",0,0,0
"LWMN","LWMN",0,0,0
"LWPT","LWPT",0,0,0
"LYFN","LYFN",0,0,0
"M145","M145",0,0,0.0227272727272727
"MAN1","MAN1",0,0,0
"MAN2","MAN2",0,0,0
"MANT","MANT",0,0,0
"MBAB","MBAB",0,0,0
"MCMA","MCMA",0,0,0
"MDNK","MDNK",0,0,0
"MDPK","MDPK",0,0,0
"MEAD","MEAD",0,0,0
"MHBT","MHBT",0,0,0
"MIDF","MIDF",0,0,0
"MIDM","MIDM",0,0,0
"MJM2","MJM2",0,0,0
"MLOB","MLOB",0,0,0
"MLTS","MLTS",0,0,0
"MLVN","MLVN",0,0,0.0232558139534884
"MM72","MM72",0,0,0
"MNIK","MNIK",0,0,0
"MOCH","MOCH",1.57142857142857,0,0
"MORB","MORB",0,0,0
"MORN","MORN",0,0,0
"MPTB","MPTB",0,0,0.0078125
"MRMS","MRMS",0,0,0
"MSLB","MSLB",0,0,0
"MSQ2","MSQ2",0,0,0
"MSUC","MSUC",0,0,0
"MSUM","MSUM",0,0,0
"MTBG","MTBG",0,0,0
"MTEL","MTEL",0,0,0
"MTHR","MTHR",NA,NA,NA
"MTMN","MTMN",0,0,0
"MTSS","MTSS",0,0,0
"MUBT","MUBT",0,0,0
"MVON","MVON",0,0,0
"MYST","MYST",0,0,0
"NACK","NACK",0,0,0
"NADW","NADW",0,0,0
"NIGT","NIGT",0,0,0
"NIK2","NIK2",0,0,0
"NIP2","NIP2",0,0,0
"NKAL","NKAL",0,0,0
"NKL2","NKL2",0,0,0
"NKLN","NKLN",0,0,0
"NKNN","NKNN",0,0,0
"NKSH","NKSH",0,0,0
"NLPS","NLPS",0,0,0
"NPKR","NPKR",0,0,0
"OIEA","OIEA",0,0,0
"ORNG","ORNG",0,0,0
"OTH_894","OTH_894",0,0,0
"P3C1","P3C1",0,0,0
"P3C2","P3C2",0,0,0
"P3SP","P3SP",0,0,0
"PAL1","PAL1",0,0,0
"PHIL","PHIL",0,0,0
"PHIN","PHIN",0,0,0
"PHL2","PHL2",0,0,0
"PHNE","PHNE",0,0,0
"PILA","PILA",0,0,0
"PITA","PITA",0,0,0
"PLUG","PLUG",0,0,0
