"","id","sex"
"417","F266",0
"418","F268",0
"419","F270",0
"420","F272",0
"421","F274",0
"422","F276",0
"423","F278",0
"424","F280",0
"425","F282",0
"426","F284",0
"427","F301",0
"428","FAST",1
"429","FB01",0
"430","FB02",0
"431","FB03",0
"432","FB05",0
"433","FB06",0
"434","FB07",0
"435","FB09",0
"436","FB10",0
"437","FB11",0
"438","FB13",0
"439","FB14",0
"440","FB15",0
"441","FB17",0
"442","FB20",0
"443","FB24",0
"444","FB25",0
"445","FB26",0
"446","FB27",0
"447","FB28",0
"448","FB29",0
"449","FB32",0
"450","FB33",0
"451","FB35",0
"452","FB36",0
"453","FB38",0
"454","FB39",0
"455","FB43",0
"456","FB44",0
"457","FB46",0
"458","FB48",0
"459","FB54",0
"460","FB55",0
"461","FB58",0
"462","FB59",0
"463","FB60",0
"464","FB62",0
"465","FB63",0
"466","FB65",0
"467","FB66",0
"468","FB68",0
"469","FB73",0
"470","FB75",0
"471","FB76",0
"472","FB78",0
"473","FB79",0
"474","FB83",0
"475","FB84",0
"476","FB87",0
"477","FB89",0
"478","FB90",0
"479","FB92",0
"480","FB93",0
"481","FB94",0
"482","FB96",0
"483","FB99",0
"484","FEAT",0
"485","FINS",1
"486","FJSL",1
"487","FLBB",1
"488","FLCR",1
"489","FLDG",1
"490","FLEA",1
"491","FNIS",1
"492","FRGG",0
"493","FRGI",1
"494","FRN2",1
"495","FRN3",1
"496","FRNC",1
"497","FRNG",0
"498","FRNZ",1
"499","FRPT",1
"500","FTHS",1
"501","FTLB",1
"502","FUDD",1
"503","FZJ1",1
"504","FZJ2",1
"505","FZJS",0
"506","GLOS",1
"507","GPHK",1
"508","GPPY",1
"509","GRGO",0
"510","GRPS",1
"511","GRW1",1
"512","GRW2",1
"513","GRW3",1
"514","GRWW",0
"515","GSKN",1
"516","GTFG",1
"517","GWEN",0
"518","HAAK",1
"519","HAIR",0
"520","HAMM",0
"521","HAN2",1
"522","HANG",0
"523","HAWC",1
"524","HBM1",1
"525","HBM2",0
"526","HBM3",1
"527","HBM4",1
"528","HBMB",0
"529","HBUT",1
"530","HDMM",1
"531","HDSK",1
"532","HFLT",1
"533","HILB",0
"534","HIPM",0
"535","HIQQ",0
"536","HITS",0
"537","HLP3",1
"538","HLP4",0
"539","HLPC",1
"540","HML2",0
"541","HMLC",1
"542","HMLT",0
"543","HMMC",1
"544","HMMM",0
"545","HMTN",1
"546","HNB2",1
"547","HNBT",0
"548","HOK1",1
"549","HOK2",0
"550","HOKA",0
"551","HOOV",1
"552","HOV2",0
"553","HOVA",0
"554","HOVC",0
"555","HPLA",0
"556","HRDM",1
"557","HSN2",1
"558","HSN3",1
"559","HSN4",1
"560","HSNS",0
"561","HUCK",1
"562","HUEY",1
"563","HVMS",0
"564","HWK2",1
"565","HWK3",0
"566","IKN2",0
"567","IKNO",0
"568","J001",0
"569","J007",1
"570","JADE",1
"571","JAGR",0
"572","JAMM",1
"573","JBAK",0
"574","JELY",1
"575","JETY",0
"576","JGL1",1
"577","JGL2",1
"578","JGLD",0
"579","JIG3",0
"580","JOJO",1
"581","JOSC",0
"582","JOSE",0
"583","KNIK",1
"584","KNNC",1
"585","KNNN",0
"586","KNOB",0
"587","KNOR",1
"588","KNSY",1
"589","KOKO",0
"590","KRSN",1
"591","L108",1
"592","L160",1
"593","LACH",1
"594","LAT2",1
"595","LBHL",1
"596","LBLD",1
"597","LBLK",0
"598","LBLS",0
"599","LBMA",0
"600","LBMN",1
"601","LBSL",1
"602","LCKL",0
"603","LDB1",1
"604","LDBP",0
"605","LDM3",0
"606","LDMA",0
"607","LDNK",1
"608","LEON",1
"609","LFLG",0
"610","LHLV",1
"611","LITT",1
"612","LIZ1",1
"613","LIZD",0
"614","LLLN",0
"615","LNBT",1
"616","LNC2",1
"617","LNC3",1
"618","LNCC",0
"619","LNL1",1
"620","LNLD",0
"621","LNPC",0
"622","LNPF",0
"623","LNST",1
"624","LONE",1
"625","LOT1",1
"626","LOT2",1
"627","LOT3",1
"628","LOT4",1
"629","LOTB",0
"630","LRBD",1
"631","LSPL",1
"632","LSPO",0
"633","LWHP",1
"634","LWMN",1
"635","LWP1",0
"636","LWP2",1
"637","LWPT",0
"638","LYFN",1
"639","LYLU",1
"640","M145",0
"641","M164",1
"642","MAN1",1
"643","MAN2",1
"644","MAN3",1
"645","MANT",0
"646","MARX",1
"647","MAUD",1
"648","MBAB",1
"649","MCM3",1
"650","MCMA",0
"651","MDLB",0
"652","MDNK",0
"653","MDPK",1
"654","MDSQ",1
"655","MEAD",0
"656","MHBT",1
"657","MIDF",0
"658","MIDM",0
"659","MJM2",1
"660","MLOB",0
"661","MLOC",1
"662","MLTS",1
"663","MLVN",1
"664","MM72",0
"665","MNC2",1
"666","MNCB",0
"667","MNIC",1
"668","MNIK",0
"669","MOCH",1
"670","MOLA",0
"671","MOML",1
"672","MOOY",1
"673","MORB",0
"674","MORN",0
"675","MPTB",0
"676","MRMS",1
"677","MRN2",1
"678","MSLB",0
"679","MSQ2",1
"680","MSR2",1
"681","MSUC",1
"682","MSUM",0
"683","MTB1",1
"684","MTBG",0
"685","MTEL",1
"686","MTHR",1
"687","MTLR",1
"688","MTMN",0
"689","MTSS",0
"690","MTWO",0
"691","MUBT",1
"692","MVON",0
"693","MYST",0
"694","NACK",0
"695","NADW",1
"696","NANA",0
"697","NHNK",1
"698","NIB2",0
"699","NIGT",1
"700","NIK2",1
"701","NIP2",1
"702","NIPP",1
"703","NKAL",1
"704","NKL2",1
"705","NKLD",1
"706","NKLN",0
"707","NKNN",0
"708","NKS1",1
"709","NKSH",0
"710","NLPS",1
"711","NOMS",0
"712","NPK1",1
"713","NPKR",0
"714","OIEA",1
"715","OINK",1
