id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
IGL,no,NA,NA,no
IGO,no,NA,NA,no
ILE,no,NA,NA,no
IMP,no,NA,NA,no
IND,no,NA,NA,yes
ING,no,NA,NA,no
INS,no,NA,NA,yes
ION,no,NA,NA,yes
ISA,no,NA,NA,no
ITA,no,NA,NA,no
IVA,yes,yes,58,no
JAC,yes,yes,7,no
JAL,no,NA,NA,yes
JAM,no,NA,NA,yes
JAN,no,NA,NA,yes
JAY,no,NA,NA,no
JAZ,no,NA,NA,no
JCB,no,NA,NA,no
JCO,no,NA,NA,yes
JEF,no,NA,NA,no
JEN,no,NA,NA,no
JER,no,NA,NA,no
JES,no,NA,NA,yes
JEW,no,NA,NA,no
JIM,no,NA,NA,no
JKE,no,NA,NA,no
JLC,no,NA,NA,yes
JME,no,NA,NA,no
JMJ,no,NA,NA,no
JMS,no,NA,NA,no
JNE,no,NA,NA,no
JNO,no,NA,NA,no
JOB,no,NA,NA,no
JOC,no,NA,NA,no
JOE,no,NA,NA,no
JOH,no,NA,NA,yes
JOI,no,NA,NA,no
JOK,no,NA,NA,no
JOL,no,NA,NA,yes
JON,yes,no,61,no
JOR,no,NA,NA,no
