id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
SPL,no,NA,NA,no
SPN,no,NA,NA,yes
SPO,no,NA,NA,no
SPP,no,NA,NA,no
SPR,no,NA,NA,no
SPT,no,NA,NA,yes
SPU,no,NA,NA,no
SPW,no,NA,NA,yes
SPY,no,NA,NA,yes
SPZ,no,NA,NA,yes
SRI,no,NA,NA,yes
SRT,no,NA,NA,yes
SSA,no,NA,NA,yes
STA,no,NA,NA,no
STB,no,NA,NA,yes
STE,no,NA,NA,no
STG,no,NA,NA,yes
STH,no,NA,NA,yes
STI,no,NA,NA,no
STN,no,NA,NA,no
STO,no,NA,NA,no
STP,no,NA,NA,no
STR,no,NA,NA,no
STU,no,NA,NA,no
SUE,no,NA,NA,no
SUM,no,NA,NA,no
SUN,yes,yes,6,no
SUS,no,NA,NA,no
SWA,no,NA,NA,yes
SYR,yes,no,72,yes
TAL,no,NA,NA,no
TAM,no,NA,NA,no
TAN,no,NA,NA,yes
TAP,yes,yes,27,yes
TAR,no,NA,NA,yes
TAS,no,NA,NA,no
TBI,no,NA,NA,no
TCY,no,NA,NA,no
TEC,no,NA,NA,no
TEO,no,NA,NA,no
TEQ,yes,yes,2,no
TER,no,NA,NA,no
THE,no,NA,NA,no
THI,no,NA,NA,no
THM,no,NA,NA,no
THO,no,NA,NA,no
TIA,no,NA,NA,no
TIC,no,NA,NA,no
TIG,no,NA,NA,yes
TIK,no,NA,NA,no
TIL,no,NA,NA,no
TIM,no,NA,NA,no
TIN,no,NA,NA,no
TIO,no,NA,NA,no
TIS,no,NA,NA,no
TIT,no,NA,NA,yes
TIZ,no,NA,NA,yes
TLI,no,NA,NA,no
TNK,no,NA,NA,yes
TOB,no,NA,NA,no
TOD,no,NA,NA,no
TOK,no,NA,NA,yes
TOM,no,NA,NA,no
TON,no,NA,NA,yes
TOP,no,NA,NA,no
TOR,no,NA,NA,no
TOT,no,NA,NA,no
TOY,no,NA,NA,no
TRA,no,NA,NA,no
TRC,no,NA,NA,no
TRE,no,NA,NA,no
