IndividualsFID,Alias,Sex,BirthYear,DeathYear,Mom,FirstSighted,FirstSighted_Begin1993,LastSighted_End2014,HI_Indiv,Year_Confirmed,First_HI_Type,HI_Injury,Year_of_Injury,Injury_Type
1112,BNSE,NA,NA,NA,NA,16-Aug-90,30-Jul-98,20-Nov-09,0,NA,NA,0,NA,NA
4985,BOO2,NA,NA,NA,BOOT,15-Jun-12,15-Jun-12,18-Jun-12,0,NA,NA,0,NA,NA
5043,BOO3,Male,2013,NA,BOOT,11-Jun-13,11-Jun-13,07-Aug-14,0,NA,NA,0,NA,NA
3817,BOOC,NA,NA,NA,BOOT,01-Jul-05,01-Jul-05,12-Jun-08,0,NA,NA,0,NA,NA
2100,BOOT,Female,NA,NA,NA,24-Sep-93,24-Sep-93,07-Aug-14,0,NA,NA,0,NA,NA
3875,BOX1,Female,2006,NA,BOXR,22-Jun-06,22-Jun-06,05-Jun-12,0,NA,NA,0,NA,NA
2257,BOXR,Female,NA,NA,NA,10-Aug-95,10-Aug-95,11-Dec-14,0,NA,NA,0,NA,NA
385,BRAC,Probable Female,NA,NA,NA,18-Oct-82,27-May-93,13-Jun-11,0,NA,NA,0,NA,NA
3462,BRAN,Female,NA,NA,NA,20-Sep-02,20-Sep-02,02-Sep-14,0,NA,NA,0,NA,NA
2715,BRC2,NA,NA,NA,BRAC,06-Oct-97,06-Oct-97,06-Oct-97,0,NA,NA,0,NA,NA
3800,BRC3,NA,NA,NA,BRAC,23-Feb-05,23-Feb-05,14-Nov-06,0,NA,NA,0,NA,NA
5067,BRC4,NA,NA,NA,BRAC,07-Sep-10,07-Sep-10,13-Jun-11,0,NA,NA,0,NA,NA
2107,BRCC,NA,NA,NA,BRAC,01-Oct-93,01-Oct-93,01-Oct-93,0,NA,NA,0,NA,NA
548,BRCH,NA,NA,NA,NA,20-Jan-87,22-Sep-93,16-Mar-95,0,NA,NA,0,NA,NA
2550,BRD2,Male,1996,2000,BRDO,11-Oct-96,11-Oct-96,19-Jun-00,1,2000,F,1,2000,"boat strike, ingestion"
