"","IndividualsFID","Alias","Sex","BirthYear","DeathYear","Mom","FirstSighted","FirstSighted_Begin1993","LastSighted_End2014","HI_Indiv","Year_Confirmed","First_HI_Type","HI_Injury","Year_of_Injury","Injury_Type"
"491",214,"FB15","Female","1950",NA,NA,"16-May-82","20-Jan-93","26-Dec-14",1,1988,"H","0",NA,NA
"494",845,"FB20","Male","1989",NA,"F111","31-May-89","05-Feb-93","04-Dec-14",1,2005,"P","1","<1991","entanglement"
"497",500,"FB25","Female","1978",NA,NA,"22-Jun-84","05-Feb-93","26-Dec-14",0,NA,NA,"0",NA,NA
"499",67,"FB27","Female","1978","2023",NA,"02-Apr-80","22-Jan-93","26-Dec-14",1,1996,"A","0",NA,NA
"500",16,"FB28","Male","1965","2015",NA,"25-Mar-71","05-Feb-93","01-Dec-14",1,2012,"A, C","1","2007","entanglement"
"503",217,"FB33","Female","1982",NA,"FB51","18-May-82","05-Feb-93","11-Dec-14",1,2013,"P","0",NA,NA
"505",111,"FB35","Female","1956","2014",NA,"26-Sep-80","19-Apr-93","21-May-14",1,1987,"A","1","<1984, 2014","entanglement, ingestion"
"506",44,"FB36","Male","1972","2011",NA,"16-Dec-75","11-Jan-93","14-Sep-11",0,NA,NA,"0",NA,NA
"510",64,"FB43","Female","1966",NA,NA,"24-Jul-76","20-Jan-93","18-May-12",1,2008,"A","0",NA,NA
"511",99,"FB44","Male","1973","2018",NA,"24-Sep-80","29-Jan-93","13-Nov-14",1,2006,"A","0",NA,NA
"513",154,"FB48","Male","1959",NA,NA,"20-Dec-80","08-Feb-93","10-Aug-09",0,NA,NA,"1","1991-2000","entanglement"
"516",36,"FB54","Female","1971",NA,NA,"01-Aug-75","20-Jan-93","04-Dec-14",1,2002,"P","0",NA,NA
"517",545,"FB55","Female","1986",NA,"FB05","19-Jun-86","11-Jan-93","11-Dec-14",1,1990,"C","0",NA,NA
"523",56,"FB63","Female","1954","2008",NA,"08-May-76","05-Feb-93","08-Oct-08",1,1991,"P","0",NA,NA
"524",416,"FB65","Female","1983",NA,"FB67","22-Jun-83","05-Feb-93","13-Nov-14",1,1996,"A","0",NA,NA
"525",85,"FB66","Male","1976","2013",NA,"20-Sep-80","22-Jan-93","15-Jul-13",1,2007,"A, C, D","1","2013","boat strike"
"532",116,"FB78","Male","1972","2015",NA,"27-Sep-80","20-Jan-93","05-Dec-14",1,2005,"B","1","1983","boat strike"
"533",532,"FB79","Female","1979","2022",NA,"25-Jun-85","05-Feb-93","26-Dec-14",1,2001,"A","0",NA,NA
"536",113,"FB87","Female","1977",NA,NA,"26-Sep-80","07-Jul-93","13-Nov-14",1,2009,"A","0",NA,NA
"538",43,"FB90","Female","1970",NA,NA,"15-Dec-75","20-Jan-93","11-Dec-14",1,2014,"H","0",NA,NA
"539",571,"FB92","Male","1988",NA,"FB84","16-Jun-88","20-Jan-93","26-Dec-14",1,1992,"P","1","<1992","entanglement"
"540",530,"FB93","Female","1985","2012","FB35","20-Jun-85","20-Jan-93","06-Dec-12",1,1987,"A","1","2012","ingestion"
"585",735,"HAIR","Female",NA,NA,NA,"27-Sep-88","17-Jun-93","11-Dec-14",0,NA,NA,"0",NA,NA
"595",1026,"HBMB","Female",NA,NA,NA,"12-Oct-89","04-Oct-93","13-Nov-14",0,NA,NA,"0",NA,NA
"604",143,"HIQQ","Male",NA,NA,NA,"02-Oct-80","05-Feb-93","15-Sep-14",0,NA,NA,"0",NA,NA
"641",2568,"IKN2","Male","1997",NA,"IKNO","30-Jun-97","30-Jun-97","29-Nov-14",1,2006,"B","0",NA,NA
"661",2567,"JOSC","Male","1997","2013","JOSE","20-Jun-97","20-Jun-97","04-Feb-13",1,2010,"A","0",NA,NA
"695",816,"LDMA","Female",NA,"2012",NA,"10-Oct-88","23-Sep-93","09-Dec-11",0,NA,NA,"0",NA,NA
"706",2734,"LIZD","Female",NA,NA,"SHTC","21-Oct-97","21-Oct-97","02-Oct-14",0,NA,NA,"0",NA,NA
"714",2626,"LNPC","Female","<1997",NA,"LNPF","28-Aug-97","28-Aug-97","11-Dec-14",0,NA,NA,"0",NA,NA
"715",593,"LNPF","Female",NA,NA,NA,"09-Sep-88","08-Dec-94","05-Nov-14",0,NA,NA,"0",NA,NA
"739",718,"M145","Female",NA,NA,NA,"23-Sep-88","15-Feb-95","13-Nov-14",1,2007,"A","0",NA,NA
"779",1960,"MPTB","Male",NA,NA,NA,"17-Aug-93","17-Aug-93","03-Dec-14",1,2013,"A","0",NA,NA
"884",653,"PNBT","Female",NA,NA,NA,"19-Sep-88","17-Sep-93","06-Aug-14",0,NA,NA,"0",NA,NA
"913",114,"PSDQ","Female",NA,NA,NA,"26-Sep-80","13-Aug-93","13-Nov-14",0,NA,NA,"0",NA,NA
"941",710,"RTMW","Female",NA,"2017",NA,"21-Sep-88","17-Jun-93","04-Jun-14",0,NA,NA,"0",NA,NA
"945",523,"RY34","Male",NA,"2014",NA,"14-Dec-84","19-Aug-93","10-Aug-14",1,1984,"G","0",NA,NA
"984",1694,"SOLB","Male",NA,NA,NA,"23-Sep-91","11-Aug-93","20-Oct-14",0,NA,NA,"0",NA,NA
"1016",137,"TCTV","Female",NA,NA,NA,"30-Sep-80","11-Aug-93","21-Jul-14",0,NA,NA,"0",NA,NA
"1019",2309,"TDTL","Female",NA,NA,NA,"02-Jul-96","02-Jul-96","03-Oct-14",0,NA,NA,"0",NA,NA
"1056",723,"TSMV","Female",NA,NA,NA,"23-Sep-88","18-May-93","13-Nov-14",0,NA,NA,"0",NA,NA
"1089",3057,"VSTH","Female",NA,NA,NA,"26-Jul-00","26-Jul-00","12-Aug-13",0,NA,NA,"0",NA,NA
"1101",2745,"WHOO","Male",NA,NA,NA,"30-Oct-97","30-Oct-97","13-Jun-11",0,NA,NA,"0",NA,NA
"1133",2980,"ZELD","Female",NA,NA,NA,"21-Apr-99","21-Apr-99","01-Dec-14",0,NA,NA,"0",NA,NA
