"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.ASOC.Sex","CONS.ASOC.Age","CONS.SOCIAL.Sex","CONS.SOCIAL.Age","CONS.A.S.Sex","CONS.A.S.Age","OFFs1","OFFs2","OFFs3","OFFASOC.Sex","OFFASOC.Age","OFFSOCIAL.Sex","OFFSOCIAL.Age","OFFA.S.Sex","OFFA.S.Age","convergence","loglik","s1","s2","s3","ASOCIALSex","ASOCIALAge","SOCIALSex","SOCIALAge","SEs1","SEs2","SEs3","SEasocialSex","SEasocialAge","SEsocialSex","SEsocialAge","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"42",42,"unconstrained","0:1:2",NA,0,1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,FALSE,288.912211133853,0,22611.3760923263,0,9.76134161809705,0,0,0.00304953869212003,0,NA,NA,21.7601697216524,0,0,0.0109827201508495,585.824422267706,586.421437193079,7.58285549083666,0.0225633641032292,0.0044326456441554
"64",64,"additive","1:2:3",NA,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,288.935258601227,867230.588326461,12169590.2655594,0,9.99977228011243,0,0,0,NA,NA,NA,NA,0,0,0,585.870517202454,586.467532127827,7.62895042558466,0.0220492825994184,0.00433165267483654
"6",6,"unconstrained","1:2:3",NA,1,2,3,4,0,5,6,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.737447728111,0,108857803.312493,0,8.96530104701277,0,-0.516638084003541,-0.00161451436724857,NA,NA,NA,NA,0,NA,NA,585.474895456221,586.767203148529,7.92862144628634,0.0189811153480034,0.00372890132356183
"61",61,"socialEffectsOnly","1:2:3",NA,1,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.416415256391,0.168042556595556,3.07489203583668,0,0,0,0,0.00276263454813667,1.20798977661385,1.65239460107783,NA,0,0,0,0.000707631412262697,586.832830512782,587.429845438155,8.59126373591255,0.0136279579062685,0.00267725628038369
"27",27,"unconstrained","1:2:3",NA,1,2,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,FALSE,288.902837904305,758.029098938086,19154.6839464424,0,9.36175702108736,0,0,0.00292953687773086,7376.60411048552,11988.0970235913,NA,21.8506207939177,0,0,0.0110006747398156,587.80567580861,588.714766717701,9.87618501545808,0.00716825873779042,0.00140822754642772
"66",66,"asocial","0:0:0",NA,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.95279825447,0,0,0,-0.624805640527908,0,NA,NA,0,0,0,0.238269479947386,0,NA,NA,621.905596508939,621.962739366082,43.1241576638395,4.3222327024678e-10,8.49116553452151e-11
"103",103,"asocial","0:0:0",NA,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.95279825447,0,0,0,-0.624805640527908,0,0,NA,0,0,0,0.238269479947386,0,0,NA,621.905596508939,621.962739366082,43.1241576638395,4.3222327024678e-10,8.49116553452151e-11
"104",104,"asocial","0:0:0",NA,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.95279825447,0,0,0,-0.624805640527908,0,NA,0,0,0,0,0.238269479947386,0,NA,0,621.905596508939,621.962739366082,43.1241576638395,4.3222327024678e-10,8.49116553452151e-11
"124",124,"asocial","0:0:0",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.95279825447,0,0,0,-0.624805640527908,0,0,0,0,0,0,0.238269479947386,0,0,0,621.905596508939,621.962739366082,43.1241576638395,4.3222327024678e-10,8.49116553452151e-11
"30",30,"asocial","0:0:0",NA,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0,0,0,-0.606623846780792,0.015446904309503,NA,NA,0,0,0,0.239044453913032,0.0121405122158642,NA,NA,622.180284505504,622.354197548982,43.515615846739,3.55389081156129e-10,6.98173311107298e-11
