"","trial","id","t_weight"
"606",1,"LDMA",0
"607",1,"LDNK",0
"608",1,"LEON",0
"609",1,"LFLG",0
"610",1,"LHLV",0
"611",1,"LITT",0
"612",1,"LIZ1",0
"613",1,"LIZD",0
"614",1,"LLLN",0
"615",1,"LNBT",0
"616",1,"LNC2",0
"617",1,"LNC3",0
"618",1,"LNCC",2
"619",1,"LNL1",0
"620",1,"LNLD",1
"621",1,"LNPC",0
"622",1,"LNPF",0
"623",1,"LNST",0
"624",1,"LONE",0
"625",1,"LOT1",0
"626",1,"LOT2",0
"627",1,"LOT3",0
"628",1,"LOT4",0
"629",1,"LOTB",0
"630",1,"LRBD",0
"631",1,"LSPL",0
"632",1,"LSPO",0
"633",1,"LWHP",0
"634",1,"LWMN",0
"635",1,"LWP1",0
"636",1,"LWP2",0
"637",1,"LWPT",0
"638",1,"LYFN",0
"639",1,"LYLU",0
"640",1,"M145",1
"641",1,"M164",0
"642",1,"MAN1",0
"643",1,"MAN2",0
"644",1,"MAN3",0
"645",1,"MANT",0
"646",1,"MARX",0
"647",1,"MAUD",0
"648",1,"MBAB",0
"649",1,"MCM3",0
"650",1,"MCMA",0
"651",1,"MDLB",0
"652",1,"MDNK",0
"653",1,"MDPK",0
"654",1,"MDSQ",0
"655",1,"MEAD",0
"656",1,"MHBT",0
"657",1,"MIDF",0
"658",1,"MIDM",0
"659",1,"MJM2",0
"660",1,"MLOB",0
"661",1,"MLOC",0
"662",1,"MLTS",0
"663",1,"MLVN",1
"664",1,"MM72",0
"665",1,"MNC2",0
"666",1,"MNCB",0
"667",1,"MNIC",0
"668",1,"MNIK",0
"669",1,"MOCH",0
"670",1,"MOLA",0
"671",1,"MOML",0
"672",1,"MOOY",0
"673",1,"MORB",0
"674",1,"MORN",0
"675",1,"MPTB",1
"676",1,"MRMS",0
"677",1,"MRN2",0
"678",1,"MSLB",0
"679",1,"MSQ2",0
"680",1,"MSR2",0
"681",1,"MSUC",0
"682",1,"MSUM",0
"683",1,"MTB1",0
"684",1,"MTBG",0
"685",1,"MTEL",0
"686",1,"MTHR",0
"687",1,"MTLR",0
"688",1,"MTMN",0
